date,Team_1,Team_2,Winner,Margin,Ground
1/25/2019,South Africa,Pakistan,South Africa,13 runs,Centurion
1/27/2019,South Africa,Pakistan,Pakistan,8 wickets,Johannesburg
1/30/2019,South Africa,Pakistan,South Africa,7 wickets,Cape Town
3/3/2019,South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg
3/6/2019,South Africa,Sri Lanka,South Africa,113 runs,Centurion
3/10/2019,South Africa,Sri Lanka,South Africa,71 runs,Durban
3/13/2019,South Africa,Sri Lanka,South Africa,6 wickets,Port Elizabeth
3/16/2019,South Africa,Sri Lanka,South Africa,41 runs,Cape Town
5/30/2019,England,South Africa,England,104 runs,The Oval
6/2/2019,Bangladesh,South Africa,Bangladesh,21 runs,The Oval
6/5/2019,India,South Africa,India,6 wickets,Southampton
6/10/2019,South Africa,West Indies,West Indies,-,Southampton
6/15/2019,Afghanistan,South Africa,South Africa,9 wickets,Cardiff
6/19/2019,New Zealand,South Africa,New Zealand,4 wickets,Birmingham
6/23/2019,Pakistan,South Africa,Pakistan,49 runs,Lord's
6/28/2019,South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street
7/6/2019,Australia,South Africa,South Africa,10 runs,Manchester
2/4/2020,South Africa,England,South Africa,7 wickets,Cape Town
2/7/2020,South Africa,England,England,-,Durban
2/9/2020,South Africa,England,England,2 wickets,Johannesburg
2/29/2020,South Africa,Australia,South Africa,74 runs,Paarl
3/4/2020,South Africa,Australia,South Africa,6 wickets,Bloemfontein
3/7/2020,South Africa,Australia,South Africa,6 wickets,Potchefstroom
3/12/2020,India,South Africa,India,-,Dharamsala
3/15/2020,India,South Africa,India,-,Lucknow
3/18/2020,India,South Africa,India,-,Kolkata
1/11/2001,Australia,West Indies,Australia,74 runs,Melbourne
1/13/2001,West Indies,Zimbabwe,West Indies,1 wickets,Brisbane
1/14/2001,Australia,West Indies,Australia,9 wickets,Brisbane
1/17/2001,Australia,West Indies,Australia,28 runs,Sydney
1/23/2001,West Indies,Zimbabwe,Zimbabwe,47 runs,Sydney
1/25/2001,West Indies,Zimbabwe,West Indies,77 runs,Adelaide
1/26/2001,Australia,West Indies,Australia,10 wickets,Adelaide
2/2/2001,West Indies,Zimbabwe,West Indies,44 runs,Perth
2/7/2001,Australia,West Indies,Australia,134 runs,Sydney
2/9/2001,Australia,West Indies,Australia,39 runs,Melbourne
4/28/2001,West Indies,South Africa,West Indies,3 wickets,Kingston
5/2/2001,West Indies,South Africa,South Africa,8 wickets,St John's
5/5/2001,West Indies,South Africa,South Africa,132 runs,St George's
5/6/2001,West Indies,South Africa,South Africa,8 wickets,St George's
5/9/2001,West Indies,South Africa,South Africa,7 wickets,Bridgetown
5/12/2001,West Indies,South Africa,South Africa,53 runs,Port of Spain
5/16/2001,West Indies,South Africa,West Indies,6 wickets,Kingstown
6/23/2001,Zimbabwe,West Indies,West Indies,27 runs,Harare
6/30/2001,India,West Indies,India,6 wickets,Bulawayo
7/1/2001,Zimbabwe,West Indies,West Indies,5 wickets,Bulawayo
7/4/2001,India,West Indies,India,6 wickets,Harare
7/7/2001,India,West Indies,West Indies,16 runs,Harare
8/15/2001,Kenya,West Indies,West Indies,106 runs,Nairobi
8/18/2001,Kenya,West Indies,West Indies,6 wickets,Nairobi (Gym)
8/19/2001,Kenya,West Indies,West Indies,7 wickets,Nairobi (Gym)
12/9/2001,West Indies,Zimbabwe,Zimbabwe,4 wickets,Colombo (SSC)
12/11/2001,Sri Lanka,West Indies,West Indies,49 runs,Colombo (RPS)
12/15/2001,Sri Lanka,West Indies,Sri Lanka,8 wickets,Kandy
12/16/2001,West Indies,Zimbabwe,West Indies,8 wickets,Kandy
12/19/2001,Sri Lanka,West Indies,Sri Lanka,34 runs,Colombo (RPS)
2/14/2002,Pakistan,West Indies,Pakistan,4 wickets,Sharjah
2/15/2002,Pakistan,West Indies,Pakistan,51 runs,Sharjah
2/17/2002,Pakistan,West Indies,West Indies,110 runs,Sharjah
5/25/2002,West Indies,India,India,-,Kingston
5/26/2002,West Indies,India,India,-,Kingston
5/29/2002,West Indies,India,India,7 wickets,Bridgetown
6/1/2002,West Indies,India,West Indies,7 wickets,Port of Spain
6/2/2002,West Indies,India,India,56 runs,Port of Spain
6/5/2002,West Indies,New Zealand,New Zealand,-,Kingston
6/8/2002,West Indies,New Zealand,West Indies,6 wickets,Gros Islet
6/9/2002,West Indies,New Zealand,West Indies,7 wickets,Gros Islet
6/12/2002,West Indies,New Zealand,New Zealand,9 runs,Port of Spain
6/16/2002,West Indies,New Zealand,West Indies,4 wickets,Kingstown
9/13/2002,South Africa,West Indies,South Africa,2 wickets,Colombo (SSC)
9/17/2002,Kenya,West Indies,West Indies,29 runs,Colombo (SSC)
11/6/2002,India,West Indies,West Indies,4 wickets,Jamshedpur
11/9/2002,India,West Indies,West Indies,7 wickets,Nagpur
11/12/2002,India,West Indies,India,81 runs,Rajkot
11/15/2002,India,West Indies,India,5 wickets,Ahmedabad
11/18/2002,India,West Indies,West Indies,5 wickets,Vadodara
11/21/2002,India,West Indies,India,3 wickets,Jodhpur
11/24/2002,India,West Indies,West Indies,135 runs,Vijayawada
11/29/2002,Bangladesh,West Indies,Bangladesh,-,Chattogram
12/2/2002,Bangladesh,West Indies,West Indies,84 runs,Dhaka
12/3/2002,Bangladesh,West Indies,West Indies,86 runs,Dhaka
2/9/2003,South Africa,West Indies,West Indies,3 runs,Cape Town
2/13/2003,New Zealand,West Indies,New Zealand,20 runs,Port Elizabeth
