Name,Country,Starting Year,Ending Year,Matches,Batting Runs,Highest Score,Batting Average,Hundreds,Wickets,Best Bowling Figures Wickets,Best Bowling Figures Runs,Bowling Average,5 Wickets,Average Difference,Wicketkeeper
CM Spearman,NZ,1995,2001,51,936,86,18.72,0,0,-,-,-,0,-,no
Wasim Bari,PAK,1973,1984,51,221,34,17,0,-,-,-,-,-,-,no
C White,ENG,1994,2003,51,568,57*,15.77,0,65,5,21,26.55,1,-10.77,no
MA Wood,ENG,2015,2019,51,56,13,8,0,61,4,33,39.09,0,-31.09,no
Basit Ali,PAK,1993,1996,50,1265,127*,34.18,1,1,1,17,21,0,13.18,no
RDB Croft,ENG,1996,2001,50,345,32,14.37,0,45,3,51,38.73,0,-24.35,no
FH Edwards,WI,2003,2009,50,73,13,9.12,0,60,6,22,30.2,2,-21.07,no
MJ Horne,NZ,1997,2002,50,980,74,20.41,0,-,-,-,-,-,-,no
RD King,WI,1998,2005,50,65,12*,7.22,0,76,4,25,23.77,0,-16.55,no
NO Miller,WI,2008,2018,50,284,51,20.28,0,45,4,43,36.88,0,-16.6,no
AD Mullally,ENG,1996,2001,50,86,20,5.73,0,63,4,18,27.42,0,-21.69,no
ML Nkala,ZIM,1998,2006,50,324,47,10.8,0,22,3,12,71.36,0,-60.56,no
HK Olonga,ZIM,1995,2003,50,95,31,7.3,0,58,6,19,34.08,2,-26.77,no
JR Thomson,AUS,1975,1985,50,181,21,7.54,0,55,4,67,35.3,0,-27.76,no
LJ Wright,ENG,2007,2014,50,707,52,20.2,0,15,2,34,58.93,0,-38.73,no
Akram Raza,PAK,1989,1995,49,193,33*,17.54,0,38,3,18,42.39,0,-24.84,no
CJ Anderson,NZ,2013,2017,49,1109,131*,27.72,1,60,5,63,25.03,1,2.69,no
PG Fulton,NZ,2004,2009,49,1334,112,32.53,1,-,-,-,-,-,-,no
KM Jarvis,ZIM,2009,2019,49,222,37,9.65,0,58,4,17,36,0,-26.34,no
SMH Kirmani,INDIA,1976,1986,49,373,48*,20.72,0,-,-,-,-,-,-,no
PJ Moor,ZIM,2014,2019,49,827,58*,20.67,0,-,-,-,-,-,-,no
Nawroz Mangal,AFG,2009,2016,49,1139,129,27.11,2,8,3,35,29.37,0,-2.25,no
HM Nicholls,NZ,2015,2020,49,1329,124*,35.91,1,-,-,-,-,-,-,no
AA Obanda,KENYA,2007,2014,49,1306,96*,30.37,0,-,-,-,-,-,-,no
DW Randall,ENG,1976,1985,49,1067,88,26.67,0,1,1,2,2,0,24.67,no
SMSM Senanayake,SL,2012,2015,49,290,42,13.18,0,53,4,13,35.35,0,-22.17,no
BC Strang,ZIM,1995,2001,49,92,18,5.11,0,46,6,20,37.34,1,-32.23,no
DJ Willey,ENG,2015,2020,49,377,51,23.56,0,60,5,30,33.95,1,-10.38,no
J Charles,WI,2012,2016,48,1283,130,26.72,2,0,-,-,-,0,-,no
NA Foster,ENG,1984,1989,48,150,24,11.53,0,59,3,20,31.11,0,-19.58,no
JR Hazlewood,AUS,2010,2020,48,39,11*,13,0,78,6,52,25.67,3,-12.67,no
NC Johnson,ZIM,1998,2000,48,1679,132*,36.5,4,35,4,42,34.85,0,1.64,no
AR McBrine,IRE,2014,2020,48,360,79,18,0,48,3,38,36.6,0,-18.6,no
MJ McClenaghan,NZ,2013,2016,48,108,34*,27,0,82,5,58,28.2,1,-1.2,no
DA Marillier,ZIM,2000,2003,48,672,100,18.16,1,30,4,38,41.16,0,-23,no
Nasir Jamshed,PAK,2008,2015,48,1418,112,31.51,3,-,-,-,-,-,-,no
WB Phillips,AUS,1982,1986,48,852,75*,24.34,0,-,-,-,-,-,-,no
JD Ryder,NZ,2008,2014,48,1362,107,33.21,3,12,3,29,34.33,0,-1.11,no
Saleem Elahi,PAK,1995,2004,48,1579,135,36.72,4,0,-,-,-,0,-,no
CS Baugh,WI,2003,2012,47,482,49,20.08,0,-,-,-,-,-,-,no
SJ Benn,WI,2008,2016,47,182,31,7.91,0,39,4,18,49.05,0,-41.13,no
TBA May,AUS,1987,1995,47,39,15,9.75,0,39,3,19,45.43,0,-35.68,no
SF Mire,ZIM,2014,2019,47,955,112,20.31,1,12,4,43,42.91,0,-22.59,no
DS Smith,WI,2003,2013,47,1059,107,24.62,1,0,-,-,-,0,-,no
CO Browne,WI,1995,2005,46,415,46*,17.29,0,-,-,-,-,-,-,no
Mudassar Bukhari,NL,2007,2014,46,516,71,17.2,0,57,3,17,28.08,0,-10.88,no
Fakhar Zaman,PAK,2017,2019,46,1958,210*,46.61,4,1,1,19,111,0,-64.38,no
C Kieswetter,ENG,2010,2013,46,1054,107,30.11,1,-,-,-,-,-,-,no
Mirwais Ashraf,AFG,2009,2016,46,387,52*,14.33,0,46,4,35,29.56,0,-15.23,no
KOA Powell,WI,2009,2018,46,1005,83,22.84,0,-,-,-,-,-,-,no
RV Uthappa,INDIA,2006,2015,46,934,86,25.94,0,0,-,-,-,0,-,no
SD Anurasiri,SL,1986,1994,45,62,11,10.33,0,32,3,40,45.75,0,-35.41,no
DM de Silva,SL,2016,2020,45,895,84,25.57,0,22,3,32,42.18,0,-16.61,no
N Pradeep,SL,2012,2020,45,29,7,4.14,0,57,4,31,36.82,0,-32.68,no
SO Hetmyer,WI,2017,2020,45,1430,139,36.66,5,-,-,-,-,-,-,no
VB John,SL,1982,1987,45,84,15,9.33,0,34,3,28,48.67,0,-39.34,no
SM Katich,AUS,2001,2006,45,1324,107*,35.78,1,-,-,-,-,-,-,no
S Lee,AUS,1995,2001,45,477,47,17.66,0,48,5,33,25.93,1,-8.27,no
NAM McLean,WI,1996,2003,45,314,50*,12.07,0,46,3,21,37.58,0,-25.51,no
DS Mohanty,INDIA,1997,2001,45,28,18*,5.6,0,57,4,56,29.15,0,-23.55,no
SM Patil,INDIA,1980,1986,45,1005,84,24.51,0,15,2,28,39.26,0,-14.75,no
JA Rudolph,Afr/SA,2003,2006,45,1174,81,35.57,0,0,-,-,-,0,-,no
Sarfraz Nawaz,PAK,1973,1984,45,221,34*,9.6,0,63,4,27,23.22,0,-13.61,no
JC Tredwell,ENG,2010,2015,45,163,30,11.64,0,60,4,41,27.76,0,-16.12,no
Akram Khan,BDESH,1988,2003,44,976,65,23.23,0,0,-,-,-,0,-,no
CR Brathwaite,WI,2011,2019,44,559,101,16.44,1,43,5,27,41.06,1,-24.62,no
S Dhaniram,CAN,2006,2010,44,915,92,24.72,0,41,5,32,30.24,1,-5.51,no
Javed Ahmadi,AFG,2010,2019,44,976,81,23.8,0,9,4,37,35.44,0,-11.63,no
GF Labrooy,SL,1986,1992,44,249,33,8.58,0,45,5,57,41.68,1,-33.1,no
PL Mommsen,SCOT,2010,2017,44,1115,139*,30.97,2,6,3,26,21.66,0,9.3,no
DR Pringle,ENG,1982,1993,44,425,49*,23.61,0,44,4,42,38.11,0,-14.5,no
JA Rennie,ZIM,1993,2000,44,201,27,13.4,0,34,3,27,46,0,-32.59,no
GM Ritchie,AUS,1982,1987,44,959,84,27.4,0,-,-,-,-,-,-,no
Shapoor Zadran,AFG,2009,2019,44,67,17,6.7,0,43,4,24,36.95,0,-30.25,no
SM Sharif,SCOT,2011,2019,44,292,34,17.17,0,64,5,33,27.75,1,-10.57,no
EAE Baptiste,WI,1983,1990,43,184,31,15.33,0,36,2,10,41.97,0,-26.63,no
MS Kasprowicz,AUS,1995,2005,43,74,28*,18.5,0,67,5,45,24.98,2,-6.48,no
NFI McCallum,SCOT,2006,2011,43,1002,121*,27.83,2,-,-,-,-,-,-,no
JS Patel,NZ,2005,2017,43,95,34,13.57,0,49,3,11,34.51,0,-20.93,no
Rajin Saleh,BDESH,2003,2006,43,1005,108*,23.92,1,15,4,16,30.6,0,-6.67,no
Shadab Khan,PAK,2017,2019,43,337,54,25.92,0,59,4,28,29.66,0,-3.73,no
MA Vermeulen,ZIM,2000,2009,43,868,92,22.25,0,1,1,5,5,0,17.25,no
AR Adams,NZ,2001,2007,42,419,45,17.45,0,53,5,22,31,1,-13.54,no
D Bishoo,WI,2011,2019,42,164,29*,10.93,0,38,3,30,43.89,0,-32.96,no
AC Botha,IRE,2006,2011,42,666,56,19.58,0,42,4,19,27,0,-7.41,no
C de Grandhomme,NZ,2012,2020,42,722,74*,27.76,0,27,3,26,43.7,0,-15.93,no
SB Doull,NZ,1992,2000,42,172,22,12.28,0,36,4,25,40.52,0,-28.24,no
SM Ervine,ZIM,2001,2004,42,698,100,25.85,1,41,3,29,38.07,0,-12.22,no
ARC Fraser,ENG,1989,1999,42,141,38*,12.81,0,47,4,22,30.04,0,-17.22,no
TM Head,AUS,2016,2018,42,1273,128,34.4,1,12,2,22,61.41,0,-27.01,no
T Mishra,KENYA,2006,2013,42,1128,72,34.18,0,1,1,6,12,0,22.18,no
CH Morris,SA,2013,2019,42,467,62,20.3,0,48,4,31,36.58,0,-16.27,no
H Osinde,CAN,2006,2013,42,64,21*,4.26,0,45,4,26,30.86,0,-26.59,no
MJ Slater,AUS,1993,1997,42,987,73,24.07,0,0,-,-,-,0,-,no
RP Snell,SA,1991,1996,42,322,63,16.1,0,44,5,40,35.77,1,-19.67,no
Yashpal Sharma,INDIA,1978,1985,42,883,89,28.48,0,1,1,27,199,0,-170.51,no
RW Chakabva,ZIM,2008,2020,41,646,78*,17.94,0,-,-,-,-,-,-,no
CE Cuffy,WI,1994,2002,41,62,17*,4.42,0,41,4,24,35.02,0,-30.59,no
DS de Silva,SL,1975,1985,41,371,37*,19.52,0,32,3,29,48.65,0,-29.12,no
Haris Sohail,PAK,2013,2019,41,1614,130,46.11,2,11,3,45,55.72,0,-9.61,no
JM How,NZ,2005,2011,41,1046,139,29.05,1,-,-,-,-,-,-,no
Mansoor Akhtar,PAK,1980,1990,41,593,47,17.44,0,2,1,7,55,0,-37.55,no
Mehidy Hasan Miraz,BDESH,2017,2020,41,393,51,17.86,0,40,4,29,40.62,0,-22.76,no
PM Seelaar,NL,2006,2019,41,155,34*,11.07,0,50,4,15,29.52,0,-18.44,no
MP Stoinis,AUS,2015,2019,41,1050,146*,33.87,1,33,3,16,43.81,0,-9.94,no
ES Szwarczynski,NL,2006,2014,41,1102,98,29.78,0,-,-,-,-,-,-,no
GM Turner,NZ,1973,1983,41,1598,171*,47,3,0,-,-,-,0,-,no
Tushar Imran,BDESH,2001,2007,41,574,65,14.35,0,1,1,24,103,0,-88.64,no
HK Badani,INDIA,2000,2004,40,867,100,33.34,1,3,1,7,49.66,0,-16.32,no
UT Khawaja,AUS,2013,2019,40,1554,104,42,2,-,-,-,-,-,-,no
PN Kirsten,SA,1991,1994,40,1293,97,38.02,0,6,3,31,25.33,0,12.69,no
AF Milne,NZ,2012,2017,40,168,36,16.8,0,41,3,49,38.56,0,-21.76,no
J Mubarak,SL,2002,2013,40,704,72,22.7,0,2,1,10,47.5,0,-24.79,no
Mujeeb Ur Rahman,AFG,2017,2019,40,69,15,6.27,0,63,5,50,22.44,1,-16.17,no
T Mupariwa,ZIM,2004,2016,40,185,33,8.4,0,57,4,39,29.64,0,-21.24,no
S Prasanna,SL,2011,2019,40,421,95,12.38,0,32,3,32,55.21,0,-42.83,no
GJ Rennie,ZIM,1996,2003,40,617,76,19.9,0,2,1,17,37.5,0,-17.59,no
RC Russell,ENG,1987,1998,40,423,50,17.62,0,-,-,-,-,-,-,no
Shaiman Anwar,UAE,2014,2019,40,1219,106,31.25,1,4,3,61,33.5,0,-2.24,no
Tahir Naqqash,PAK,1980,1985,40,210,61,15,0,34,3,23,36.47,0,-21.47,no
Aminul Islam,BDESH,1988,2002,39,794,70,23.35,0,7,3,57,58.71,0,-35.36,no
DE Bollinger,AUS,2009,2011,39,50,30,8.33,0,62,5,35,23.9,2,-15.56,no
NT Broom,NZ,2009,2017,39,943,109*,26.94,1,-,-,-,-,-,-,no
N Chopra,INDIA,1998,2000,39,310,61,15.5,0,46,5,21,27.95,1,-12.45,no
SR Clark,AUS,2005,2009,39,69,16*,13.8,0,53,4,54,27.86,0,-14.06,no
CK Coventry,ZIM,2003,2015,39,831,194*,24.44,1,-,-,-,-,-,-,no
SP Davis,AUS,1986,1988,39,20,6,5,0,44,3,10,25.75,0,-20.74,no
S Elworthy,SA,1998,2002,39,100,23,12.5,0,44,3,17,28.06,0,-15.56,no
Hashmatullah Shahidi,AFG,2013,2019,39,1062,97*,32.18,0,0,-,-,-,0,-,no
DW Hookes,AUS,1977,1986,39,826,76,24.29,0,1,1,2,28,0,-3.7,no
SHT Kandamby,SL,2004,2014,39,870,93*,29,0,2,2,37,86.5,0,-57.49,no
AN Kervezee,NL,2006,2012,39,924,92,28,0,0,-,-,-,0,-,no
WK McCallan,IRE,2006,2009,39,361,50*,20.05,0,39,4,30,30.97,0,-10.91,no
Mohammad Naveed,UAE,2014,2019,39,397,45,16.54,0,53,5,28,33.15,1,-16.6,no
RR Patel,KENYA,2008,2014,39,621,92,20.03,0,2,1,14,67.5,0,-47.46,no
EC Rainsford,ZIM,2004,2010,39,55,9*,5.5,0,45,5,36,31.13,1,-25.63,no
Saleem Jaffar,PAK,1986,1990,39,36,10*,18,0,40,3,25,34.55,0,-16.54,no
MAR Samarasekera,SL,1983,1994,39,844,76,22.81,0,0,-,-,-,0,-,no
AC Waller,ZIM,1987,1997,39,818,83*,23.37,0,-,-,-,-,-,-,no
Anamul Haque,BDESH,2012,2019,38,1052,120,30.05,3,-,-,-,-,-,-,no
TE Blain,NZ,1986,1994,38,442,49*,16.37,0,-,-,-,-,-,-,no
KSC de Silva,SL,1996,2000,38,39,13*,6.5,0,52,3,18,25.44,0,-18.94,no
Fawad Alam,PAK,2007,2015,38,966,114*,40.25,1,5,1,8,75.4,0,-35.14,no
MD Gunathilaka,SL,2015,2019,38,1249,133,34.69,2,6,3,48,49.33,0,-14.63,no
Hamid Hassan,AFG,2009,2019,38,107,17,6.68,0,59,5,45,22.54,1,-15.85,no
GM Hamilton,SCOT,1999,2010,38,1231,119,35.17,2,3,2,36,53.33,0,-18.16,no
Mohammad Asif,Asia/PAK,2005,2010,38,34,6,3.77,0,46,3,28,33.13,0,-29.35,no
Nazmul Hossain,BDESH,2004,2012,38,35,6*,4.37,0,44,4,40,31.5,0,-27.12,no
SB O'Connor,NZ,1997,2000,38,24,8,3.42,0,46,5,39,30.34,2,-26.91,no
AR Patel,INDIA,2014,2017,38,181,38,12.92,0,45,3,34,31.31,0,-18.38,no
PA Patel,INDIA,2003,2012,38,736,95,23.74,0,-,-,-,-,-,-,no
J Smits,NL,2003,2009,38,169,29*,16.9,0,-,-,-,-,-,-,no
T Thushara,SL,2008,2010,38,392,54*,18.66,0,50,5,47,27.86,1,-9.19,no
MR Whitney,AUS,1983,1993,38,40,9*,6.66,0,46,4,34,27.15,0,-20.48,no
PK Amre,INDIA,1991,1994,37,513,84*,20.52,0,0,-,-,-,0,-,no
KM Dabengwa,ZIM,2005,2010,37,514,45,19.03,0,23,3,15,40.69,0,-21.65,no
LH Ferguson,NZ,2016,2020,37,63,19,7,0,69,5,45,25.78,1,-18.78,no
LK Germon,NZ,1994,1997,37,519,89,19.96,0,-,-,-,-,-,-,no
RIC Holder,WI,1993,1997,37,599,65,23.96,0,-,-,-,-,-,-,no
Imam-ul-Haq,PAK,2017,2019,37,1723,151,53.84,7,-,-,-,-,-,-,no
M Kartik,INDIA,2002,2007,37,126,32*,14,0,37,6,27,43.56,1,-29.56,no
XM Marshall,USA/WI,2005,2020,37,596,157*,17.52,1,0,-,-,-,0,-,no
CJ Nevin,NZ,2000,2003,37,732,74,20.33,0,-,-,-,-,-,-,no
Rohan Mustafa,UAE,2014,2020,37,754,109,22.17,1,41,5,25,33.17,1,-10.99,no
R Telemachus,SA,1998,2006,37,73,29,6.08,0,56,4,43,27.94,0,-21.86,no
DLS van Bunge,NL,2002,2013,37,633,80,21.1,0,11,3,16,29.9,0,-8.8,no
U Bhatti,CAN,2006,2010,36,378,46,17.18,0,33,4,45,34.81,0,-17.63,no
G Boycott,ENG,1971,1981,36,1082,105,36.06,1,5,2,14,21,0,15.06,no
AT Carey,AUS,2018,2020,36,884,85,34,0,-,-,-,-,-,-,no
A Dananjaya,SL,2012,2019,36,283,50*,12.86,0,51,6,29,29.52,2,-16.66,no
GR Dilley,ENG,1979,1988,36,114,31*,11.4,0,48,4,23,26.89,0,-15.49,no
AC Evans,SCOT,2009,2019,36,100,28,10,0,46,4,41,32.58,0,-22.58,no
Liton Das,BDESH,2015,2020,36,1079,176,32.69,3,-,-,-,-,-,-,no
A Mishra,INDIA,2003,2016,36,43,14,5.37,0,64,6,48,23.6,2,-18.23,no
R Mutumbami,ZIM,2014,2020,36,618,74,19.31,0,-,-,-,-,-,-,no
CS Pandit,INDIA,1986,1992,36,290,33*,20.71,0,-,-,-,-,-,-,no
SR Patel,ENG,2008,2013,36,482,70*,32.13,0,24,5,41,45.45,1,-13.32,no
CMW Read,ENG,2000,2006,36,300,30*,17.64,0,-,-,-,-,-,-,no
RR Rossouw,SA,2014,2016,36,1239,132,38.71,3,1,1,17,44,0,-5.28,no
DF Watts,SCOT,2006,2011,36,974,101,28.64,1,-,-,-,-,-,-,no
D Williams,WI,1988,1997,36,147,32*,9.18,0,-,-,-,-,-,-,no
RK Chauhan,INDIA,1993,1997,35,132,32,10.15,0,29,3,29,41.93,0,-31.77,no
SS Cottrell,WI,2015,2020,35,84,17,12,0,49,5,46,32.18,1,-20.18,no
WW Davis,WI,1983,1988,35,28,10,14,0,39,7,51,33.38,1,-19.38,no
D Ganga,WI,1999,2006,35,843,71,25.54,0,0,-,-,-,0,-,no
UC Hathurusingha,SL,1992,1999,35,669,66,20.9,0,14,4,57,50.64,0,-29.73,no
AJ Hollioake,ENG,1996,1999,35,606,83*,25.25,0,32,4,23,31.84,0,-6.59,no
Mosaddek Hossain,BDESH,2016,2019,35,549,52*,27.45,0,14,3,13,56.21,0,-28.76,no
TD Paine,AUS,2009,2018,35,890,111,27.81,1,-,-,-,-,-,-,no
IH Romaine,BMUDA,2006,2009,35,783,101,25.25,1,10,2,22,35.5,0,-10.24,no
SW Tait,AUS,2007,2011,35,25,11,12.5,0,62,4,39,23.56,0,-11.06,no
RR Watson,SCOT,2006,2010,35,956,123*,30.83,1,12,3,18,44,0,-13.16,no
S Wettimuny,SL,1982,1987,35,786,86*,24.56,0,1,1,13,70,0,-45.43,no
ID Blackwell,ENG,2002,2006,34,403,82,14.92,0,24,3,26,36.54,0,-21.61,no
BC Broad,ENG,1987,1988,34,1361,106,40.02,1,0,-,-,-,0,-,no
TN de Grooth,NL,2006,2013,34,480,97,17.14,0,1,1,2,2,0,15.14,no
VC Drakes,WI,1995,2004,34,94,25,7.83,0,51,5,33,25.35,2,-17.51,no
Farhad Reza,BDESH,2006,2011,34,412,50,16.48,0,22,5,42,46.22,1,-29.74,no
CJ Jordan,ENG,2013,2020,34,170,38*,12.14,0,45,5,29,35.8,1,-23.65,no
HH Kanitkar,INDIA,1997,2000,34,339,57,17.84,0,17,2,22,47.23,0,-29.39,no
AY Karim,KENYA,1996,2003,34,228,53,12.66,0,27,5,33,41.25,1,-28.59,no
SS Karim,INDIA,1997,2000,34,362,55,15.73,0,-,-,-,-,-,-,no
MA Leask,SCOT,2014,2019,34,474,59*,21.54,0,19,4,37,53.63,0,-32.08,no
Manjural Islam,BDESH,1999,2003,34,53,13,5.88,0,24,3,37,53.5,0,-47.61,no
VJ Marks,ENG,1980,1988,34,285,44,13.57,0,44,5,20,25.79,2,-12.22,no
R Powell,WI,2016,2018,34,670,101,23.92,1,3,1,7,81,0,-57.07,no
DT Tiripano,ZIM,2014,2020,34,343,55*,19.05,0,31,5,63,41.87,1,-22.81,no
JAR Blain,SCOT,1999,2009,33,284,41,14.94,0,41,5,22,28.6,1,-13.66,no
JL Carter,WI,2015,2019,33,581,54,23.24,0,4,2,14,40,0,-16.75,no
EE Hemmings,ENG,1982,1991,33,30,8*,5,0,37,4,52,34.97,0,-29.97,no
MG Hughes,AUS,1988,1993,33,100,20,11.11,0,38,4,44,29.34,0,-18.23,no
RT Latham,NZ,1990,1994,33,583,60,20.1,0,11,5,32,35.09,1,-14.98,no
Muhammad Usman,UAE,2016,2020,33,818,80,29.21,0,-,-,-,-,-,-,no
Rizwan Cheema,CAN,2008,2013,33,764,94,24.64,0,32,3,25,34.21,0,-9.57,no
IS Sodhi,NZ,2015,2020,33,81,24,7.36,0,43,4,58,35.06,0,-27.7,no
RN ten Doeschate,NL,2006,2011,33,1541,119,67,5,55,4,31,24.12,0,42.87,no
PA Wallace,WI,1991,2000,33,701,103,21.24,1,-,-,-,-,-,-,no
Arshad Ayub,INDIA,1987,1990,32,116,31*,11.6,0,31,5,21,39.22,1,-27.62,no
HS Baidwan,CAN,2008,2014,32,220,33,14.66,0,44,3,19,30.63,0,-15.96,no
W Barresi,NL,2010,2019,32,927,137*,35.65,1,0,-,-,-,0,-,no
GS Blewett,AUS,1995,1999,32,551,57*,20.4,0,14,2,6,46.14,0,-25.73,no
DG Cork,ENG,1992,2002,32,180,31*,10,0,41,3,27,33.36,0,-23.36,no
NM Coulter-Nile,AUS,2013,2019,32,252,92,16.8,0,52,4,48,29.9,0,-13.1,no
DN Crookes,SA,1994,2000,32,296,54,14.8,0,25,3,30,40.44,0,-25.63,yes
JM Davison,CAN,2003,2011,32,799,111,26.63,1,36,3,15,29.63,0,-3,no
MR Gillespie,NZ,2006,2009,32,93,28,15.5,0,37,4,58,37,0,-21.49,no
Hasibul Hossain,BDESH,1995,2004,32,172,21*,8.6,0,29,4,56,46.13,0,-37.53,no
R Lamba,INDIA,1986,1989,32,783,102,27,1,1,1,9,20,0,7,no
RDM Leverock,BMUDA,2006,2009,32,111,20*,11.1,0,34,5,53,33.02,1,-21.92,no
Mohammad Rizwan,PAK,2015,2019,32,705,115,33.57,2,-,-,-,-,-,-,no
CM Old,ENG,1973,1981,32,338,51*,18.77,0,45,4,8,22.2,0,-3.42,no
KL Rahul,INDIA,2016,2020,32,1239,112,47.65,4,-,-,-,-,-,-,no
Shabbir Ahmed,PAK,1999,2005,32,10,2,1.66,0,33,3,32,36.12,0,-34.45,no
Taskin Ahmed,BDESH,2014,2017,32,41,14,4.1,0,45,5,28,31.13,1,-27.03,yes
Abdur Rehman,PAK,2006,2014,31,142,31,8.35,0,30,4,48,38.06,0,-29.71,no
Ahmed Raza,UAE,2014,2020,31,285,50,12.95,0,35,5,26,31.4,1,-18.44,no
GI Allott,NZ,1997,2000,31,17,7*,3.4,0,52,4,35,23.21,0,-19.81,no
Amir Hamza,AFG,2012,2017,31,23,7,3.28,0,40,4,17,25.4,0,-22.11,no
CWJ Athey,ENG,1980,1988,31,848,142*,31.4,2,0,-,-,-,0,-,no
HMCM Bandara,SL,2006,2010,31,160,31,12.3,0,36,4,31,34.22,0,-21.91,no
JH Davey,SCOT,2010,2019,31,497,64,22.59,0,49,6,28,22.08,2,0.5,no
RG de Alwis,SL,1983,1988,31,401,59*,21.1,0,-,-,-,-,-,-,no
N Deonarine,WI,2005,2015,31,682,65*,26.23,0,6,2,18,79.16,0,-52.93,no
DAS Gunaratne,SL,2016,2019,31,575,114*,27.38,1,22,3,10,32.86,0,-5.48,no
CA Ingram,SA,2010,2013,31,843,124,32.42,3,0,-,-,-,0,-,no
RC Irani,ENG,1996,2003,31,360,53,14.4,0,24,5,26,41.2,1,-26.8,no
AI Kallicharran,WI,1973,1981,31,826,78,34.41,0,3,2,10,21.33,0,13.08,no
S Randiv,SL,2009,2016,31,280,56,17.5,0,36,5,42,33.72,1,-16.22,no
FDM Karunaratne,SL,2011,2020,31,683,97,27.32,0,0,-,-,-,0,-,no
WK Lees,NZ,1979,1983,31,215,26,11.31,0,-,-,-,-,-,-,no
BJ McCarthy,IRE,2016,2020,31,151,18,8.88,0,55,5,46,27.01,1,-18.13,no
BA Murphy,ZIM,2000,2003,31,72,20*,8,0,29,3,43,38.96,0,-30.96,no
BJ Patel,KENYA,2001,2006,31,360,44,16.36,0,4,2,20,40.75,0,-24.38,no
RR Powar,INDIA,2004,2007,31,163,54,11.64,0,34,3,24,35.02,0,-23.38,no
KR Pushpakumara,SL,1994,1999,31,36,14*,9,0,24,3,25,49.2,0,-40.2,no
Qasim Umar,PAK,1983,1987,31,642,69,22.92,0,-,-,-,-,-,-,no
AK Sharma,INDIA,1988,1993,31,424,59*,20.19,0,15,3,41,58.33,0,-38.14,no
R Vinay Kumar,INDIA,2010,2013,31,86,27*,9.55,0,38,4,30,37.44,0,-27.89,no
AC Voges,AUS,2007,2013,31,870,112*,45.78,1,6,1,3,46,0,-0.21,no
Ata-ur-Rehman,PAK,1992,1996,30,34,11*,4.85,0,27,3,27,43.92,0,-39.06,no
L Balaji,INDIA,2002,2009,30,120,21*,12,0,34,4,48,39.52,0,-27.52,no
RL Chase,WI,2017,2020,30,520,94,26,0,15,3,30,47.93,0,-21.93,no
PT Collins,WI,1999,2005,30,30,10*,4.28,0,39,5,43,31.07,1,-26.79,no
AC Dale,AUS,1997,2000,30,78,15*,19.5,0,32,3,18,30.59,0,-11.09,no
GD Drummond,SCOT,2007,2013,30,240,35*,18.46,0,25,4,41,37.28,0,-18.81,no
CJ Ferguson,AUS,2009,2011,30,663,71*,41.43,0,-,-,-,-,-,-,no
VD Philander,SA,2007,2015,30,151,30*,12.58,0,41,4,12,24.04,0,-11.46,no
E Schiferli,NL,2002,2013,30,161,41,10.06,0,33,4,23,30.54,0,-20.48,no
GN Yallop,AUS,1978,1984,30,823,66*,39.19,0,3,2,28,39.66,0,-0.47,no
Al Sahariar,BDESH,1999,2003,29,374,62*,13.35,0,-,-,-,-,-,-,no
SFAF Bacchus,WI,1978,1983,29,612,80*,26.6,0,-,-,-,-,-,-,no
DJ Callaghan,SA,1992,2000,29,493,169*,25.94,1,10,3,32,36.5,0,-10.55,no
TBM de Leede,NL,1996,2007,29,400,58*,16.66,0,29,4,35,34.44,0,-17.78,no
J Dyson,AUS,1980,1983,29,755,79,32.82,0,-,-,-,-,-,-,no
PH Edmonds,ENG,1977,1987,29,116,20,10.54,0,26,3,39,37.11,0,-26.56,no
Enamul Haque,BDESH,1990,2002,29,236,32,11.23,0,19,2,40,57,0,-45.76,no
JW Hastings,AUS,2010,2017,29,271,51,27.1,0,42,6,45,29.9,1,-2.8,no
NM Lyon,AUS,2012,2019,29,77,30,19.25,0,29,4,44,46,0,-26.74,no
M Mbangwa,ZIM,1996,2002,29,34,11,4.85,0,11,2,24,103.63,0,-98.77,no
Naimur Rahman,BDESH,1995,2002,29,488,47,19.52,0,10,2,51,90.4,0,-70.87,no
LN Onyango,KENYA,1996,2014,29,144,34*,13.09,0,26,3,29,37.73,0,-24.63,no
LS Pascoe,AUS,1977,1982,29,39,15*,9.75,0,53,5,30,20.11,1,-10.36,no
Rashid Khan,PAK,1980,1985,29,110,17,13.75,0,20,3,47,46.15,0,-32.39,no
DA Reeve,ENG,1991,1996,29,291,35,24.25,0,20,3,20,41,0,-16.74,no
CJ Tavare,ENG,1980,1984,29,720,83*,27.69,0,0,-,-,-,0,-,no
KJ Abbott,SA,2013,2016,28,76,23,8.44,0,34,4,21,30.91,0,-22.46,no
EAR de Silva,SL,1986,1992,28,138,19*,9.85,0,17,3,38,56.88,0,-47.02,no
PR Downton,ENG,1977,1988,28,242,44*,16.13,0,-,-,-,-,-,-,no
AS Joseph,WI,2016,2020,28,121,29*,20.16,0,48,5,56,28.58,1,-8.41,no
RN Lewis,WI,1997,2009,28,291,49,18.18,0,22,3,43,44.68,0,-26.49,no
JN Mohammed,WI,2011,2018,28,551,91*,23.95,0,0,-,-,-,0,-,no
Mominul Haque,BDESH,2012,2018,28,557,60,22.28,0,7,2,13,27.14,0,-4.86,no
